KALCODE,Population2021
2704030901,413.0
2701020201,219.0
2704030201,201.0
2701051401,125.0
6901070401,514.0
6901070701,859.0
6001020201,140.0
6001010801,421.0
2906040403,51.0
2906040402,22.0
2906020802,31.0
2906040102,144.0
2906040703,12.0
2906040702,0.0
2906050903,19.0
2906050904,39.0
2906050905,1.0
2906050906,121.0
5901030601,28.0
5901030801,7.0
5701070501,445.0
5701070801,232.0
5701070701,293.0
5701070401,274.0
5701070301,97.0
2906010602,26.0
2906010702,46.0
2903020302,8.0
2906010202,566.0
2805020302,130.0
2805020304,7.0
2901020202,133.0
2901020102,23.0
2901030102,9.0
2901030103,405.0
2804010602,2.0
2804010402,2.0
2804010403,80.0
2802010202,12.0
2801030203,6.0
2801030202,2.0
2804030103,19.0
2804040502,3.0
2804040103,0.0
2907020403,53.0
5302010901,604.0
5901030401,57.0
5901010201,211.0
5901010701,255.0
5901030901,907.0
5901030501,72.0
5901010301,53.0
1805050901,29.0
1807020101,8.0
5801020301,367.0
5801020201,469.0
5301040401,507.0
5301040201,155.0
5302070201,294.0
5302070401,322.0
5301040101,192.0
5301040301,708.0
5302030401,690.0
5301040501,315.0
5301040601,84.0
5301010401,456.0
5302010201,807.0
5301050601,378.0
5301050101,823.0
6105000015,710.0
6105000020,423.0
6105000016,178.0
6101000003,293.0
7001010301,68.0
7001010201,41.0
7001020501,72.0
5401020501,190.0
7001020101,18.0
7001020104,64.0
7001020901,190.0
5402000001,898.0
7001020401,118.0
5401010301,153.0
7001020201,76.0
7001020301,192.0
5401020301,152.0
5401020601,155.0
7001020801,91.0
5401030201,217.0
5401020201,106.0
5401020101,576.0
1801050901,45.0
1801030401,150.0
2003020401,515.0
1805010501,36.0
6004000001,180.0
6003000002,3.0
6501000101,830.0
6701000301,109.0
2908000019,39.0
2907020202,21.0
2905010605,28.0
2905010202,10.0
2905010204,17.0
2905030602,42.0
2903010103,15.0
2901040604,86.0
2901040602,5.0
2901040302,21.0
2806050402,290.0
2901030104,2386.0
2803010102,41.0
2801040105,12.0
2801040102,6.0
2801040103,12.0
2801010109,92.0
2801010108,123.0
2801010106,257.0
2705040203,405.0
2705040102,8.0
5701020203,50.0
5701040103,18.0
1803031401,32.0
2001050201,144.0
2002012101,114.0
2002030301,58.0
1803031001,73.0
1802040501,82.0
2002010301,115.0
1903020301,160.0
1803030701,93.0
2002011301,169.0
5302050402,158.0
5302040302,42.0
5302040105,32.0
5302040109,3.0
5302040111,24.0
5302040112,67.0
5301050402,1.0
5701040401,622.0
5701040402,49.0
5701040801,45.0
5701040701,138.0
2905040303,63.0
2905040402,0.0
2905040403,91.0
2905040404,141.0
2905040102,15.0
2905040103,8.0
2905040104,122.0
2905040105,53.0
6901020202,130.0
6901080102,305.0
6901090402,281.0
6901090702,22.0
6901090703,1.0
6901030302,41.0
6901030102,168.0
5302030102,262.0
5302030103,49.0
5302030105,90.0
5302030202,59.0
5302030206,10.0
5302030204,9.0
5302030205,5.0
5302030302,28.0
5302010502,3.0
5302010602,463.0
2907020302,15.0
2902010902,45.0
2705030104,48.0
6503000001,333.0
6702030801,93.0
6104000001,778.0
5801030101,794.0
5801020401,281.0
5801030301,798.0
2906020503,101.0
2906020502,15.0
2906020602,10.0
5601020103,88.0
5601020104,135.0
5601020302,37.0
5601020201,92.0
5602020401,52.0
2902010204,4.0
2902010203,32.0
2902020504,0.0
2902020503,6.0
2902020802,1.0
2902021403,41.0
2902021402,9.0
2902021404,40.0
2906050804,16.0
2906050802,74.0
2902021004,58.0
2902010202,31.0
2907010103,6.0
2903020202,53.0
6201010703,9.0
6201010204,0.0
6201010402,8.0
6201010303,43.0
6201010502,2.0
6201010503,100.0
6201010504,154.0
6905000001,474.0
6901100102,29.0
6901100502,28.0
6901100302,203.0
6901060202,75.0
6901070602,1.0
6901070302,238.0
